"player_id","web_name","first_name","second_name","id","kickoff_time","kickoff_time_formatted","team_h_score","team_a_score","was_home","round","total_points","value","transfers_balance","selected","transfers_in","transfers_out","loaned_in","loaned_out","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","ea_index","open_play_crosses","big_chances_created","clearances_blocks_interceptions","recoveries","key_passes","tackles","winning_goals","attempted_passes","completed_passes","penalties_conceded","big_chances_missed","errors_leading_to_goal","errors_leading_to_goal_attempt","tackled","offside","target_missed","fouls","dribbles","element","fixture","opponent_team"
40,"Fraser","Ryan","Fraser",16841,"2019-03-16T15:00:00Z","16 Mar 15:00",2,2,TRUE,31,2,62,188425,1612394,218875,30450,0,0,90,0,0,0,2,0,0,0,0,0,0,0,16,"11.4","44.0","10.0","6.5",0,1,1,3,7,3,1,0,31,24,0,0,0,0,3,0,1,0,0,40,301,15
41,"Hyndman","Emerson","Hyndman",16842,"2019-03-16T15:00:00Z","16 Mar 15:00",2,2,TRUE,31,0,45,-4,2585,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,301,15
42,"Brooks","David","Brooks",16843,"2019-03-16T15:00:00Z","16 Mar 15:00",2,2,TRUE,31,2,51,51396,394798,60460,9064,0,0,90,0,0,0,2,0,0,0,0,0,0,0,7,"5.6","4.3","0.0","1.0",0,0,0,1,4,0,1,0,50,30,0,0,0,0,2,0,0,0,0,42,301,15
43,"Wilson","Callum","Wilson",16844,"2019-03-16T15:00:00Z","16 Mar 15:00",2,2,TRUE,31,2,65,447449,1504164,451790,4341,0,0,90,0,0,0,2,0,0,0,0,0,0,0,0,"0.0","0.2","22.0","2.0",0,0,0,0,1,0,0,0,6,5,0,1,0,0,2,0,1,1,1,43,301,15
44,"Mousset","Lys","Mousset",16845,"2019-03-16T15:00:00Z","16 Mar 15:00",2,2,TRUE,31,0,49,772,18744,1607,835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,301,15
45,"King","Joshua","King",16846,"2019-03-16T15:00:00Z","16 Mar 15:00",2,2,TRUE,31,13,65,-4871,454843,31062,35933,0,0,90,2,0,0,2,0,0,0,0,0,0,3,53,"75.2","31.2","26.0","13.2",0,0,0,0,5,2,3,0,27,20,0,0,0,0,8,0,0,2,0,45,301,15
46,"Defoe","Jermain","Defoe",16847,"2019-03-16T15:00:00Z","16 Mar 15:00",2,2,TRUE,31,0,56,-91,22447,7,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,301,15
47,"Ryan","Mathew","Ryan",16263,"2019-03-09T12:30:00Z","09 Mar 12:30",1,2,FALSE,30,1,44,866,193158,5774,4908,0,0,90,0,0,0,1,0,0,0,1,0,2,0,8,"12.8","0.0","0.0","1.3",0,0,0,0,5,0,0,0,21,9,0,0,0,0,0,0,0,0,0,47,294,7
48,"Dunk","Lewis","Dunk",16264,"2019-03-09T12:30:00Z","09 Mar 12:30",1,2,FALSE,30,5,44,41,142146,4348,4307,0,0,90,0,1,0,1,0,0,0,0,0,0,0,24,"52.0","10.1","0.0","6.2",0,0,0,10,4,1,1,0,28,23,0,0,0,0,0,0,0,0,0,48,294,7
49,"Duffy","Shane","Duffy",16265,"2019-03-09T12:30:00Z","09 Mar 12:30",1,2,FALSE,30,2,47,20147,404027,33205,13058,0,0,90,0,0,0,1,0,0,0,0,0,0,0,10,"13.8","0.1","2.0","1.6",0,0,0,5,4,0,1,0,25,20,0,0,0,1,0,0,0,0,0,49,294,7
