"","id","photo","web_name","team_code","status","code","first_name","second_name","squad_number","news","now_cost","news_added","chance_of_playing_this_round","chance_of_playing_next_round","value_form","value_season","cost_change_start","cost_change_event","cost_change_start_fall","cost_change_event_fall","in_dreamteam","dreamteam_count","selected_by_percent","form","transfers_out","transfers_in","transfers_out_event","transfers_in_event","loans_in","loans_out","loaned_in","loaned_out","total_points","event_points","points_per_game","ep_this","ep_next","special","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","ea_index","element_type","team"
"37",37,"40387.jpg","Gosling",91,"a",40387,"Dan","Gosling",4,"",50,NA,NA,NA,"0.6","0.6",0,0,0,0,FALSE,0,"0.1","3.0",200,203,200,203,0,0,0,0,3,3,"3.0","2.0","1.5",FALSE,90,0,0,1,0,0,0,0,0,0,0,0,12,"23.2","10.4","1.0","3.5",0,"MID","BOU"
"38",38,"103912.jpg","Ibe",91,"a",103912,"Jordon","Ibe",10,"",55,NA,NA,NA,"0.0","0.0",0,0,0,0,FALSE,0,"0.6","0.0",2522,175,2522,175,0,0,0,0,0,0,"0.0","2.2","1.7",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"MID","BOU"
"39",39,"155408.jpg","Lewis Cook",91,"a",155408,"Lewis","Cook",16,"",50,NA,NA,NA,"0.0","0.0",0,0,0,0,FALSE,0,"0.3","0.0",1231,94,1231,94,0,0,0,0,0,0,"0.0","2.0","1.5",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"MID","BOU"
"40",40,"90105.jpg","Fraser",91,"a",90105,"Ryan","Fraser",24,"",55,NA,NA,NA,"2.0","2.0",0,0,0,0,FALSE,0,"1.7","11.0",2367,13413,2367,13413,0,0,0,0,11,11,"11.0","2.2","1.7",FALSE,90,1,0,1,0,0,0,0,0,0,0,3,38,"42.8","43.3","25.0","11.1",0,"MID","BOU"
"41",41,"122342.jpg","Hyndman",91,"u",122342,"Emerson","Hyndman",22,"Loaned to Hibernian",45,"2018-08-09T20:43:58Z",0,0,"0.0","0.0",0,0,0,0,FALSE,0,"0.1","0.0",470,3,470,3,0,0,0,0,0,0,"0.0","0.0","0.0",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"MID","BOU"
"42",42,"111317.jpg","Brooks",91,"a",111317,"David","Brooks",20,"",50,NA,NA,NA,"0.6","0.6",0,0,0,0,FALSE,0,"0.1","3.0",179,219,179,219,0,0,0,0,3,3,"3.0","2.0","1.5",FALSE,66,0,0,1,0,0,0,0,0,0,0,0,3,"3.4","2.8","19.0","2.5",0,"MID","BOU"
"43",43,"75115.jpg","Wilson",91,"a",75115,"Callum","Wilson",13,"",60,NA,NA,NA,"1.3","1.3",0,0,0,0,TRUE,1,"4.7","8.0",6231,50325,6231,50325,0,0,0,0,8,8,"8.0","2.3","1.8",FALSE,90,1,1,1,0,0,0,1,0,0,0,1,31,"58.6","20.2","103.0","18.2",0,"FWD","BOU"
"44",44,"178304.jpg","Mousset",91,"a",178304,"Lys","Mousset",9,"",50,NA,NA,NA,"0.2","0.2",0,0,0,0,FALSE,0,"0.3","1.0",820,832,820,832,0,0,0,0,1,1,"1.0","1.8","1.3",FALSE,1,0,0,0,0,0,0,0,0,0,0,0,3,"0.0","0.0","0.0","0.0",0,"FWD","BOU"
"45",45,"78007.jpg","King",91,"a",78007,"Joshua","King",17,"",65,NA,NA,NA,"0.3","0.3",0,0,0,0,FALSE,0,"7.8","2.0",12570,3249,12570,3249,0,0,0,0,2,2,"2.0","2.5","2.0",FALSE,90,0,0,1,0,0,0,0,0,0,0,0,1,"5.0","19.3","22.0","4.6",0,"FWD","BOU"
"46",46,"7958.jpg","Defoe",91,"a",7958,"Jermain","Defoe",18,"",60,NA,NA,NA,"0.2","0.2",0,0,0,0,FALSE,0,"0.9","1.0",2603,937,2603,937,0,0,0,0,1,1,"1.0","2.3","1.8",FALSE,1,0,0,0,0,0,0,0,0,0,0,0,3,"0.0","0.0","0.0","0.0",0,"FWD","BOU"
