"player_id","web_name","first_name","second_name","id","kickoff_time_formatted","event_name","opponent_name","opponent_short_name","is_home","difficulty","code","kickoff_time","team_h_score","team_a_score","finished","minutes","provisional_start_time","finished_provisional","event","team_a","team_h"
80,"Westwood","Ashley","Westwood",32,"02 Sep 16:00","Gameweek 4","Man Utd","MUN",TRUE,4,987623,"2018-09-02T15:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,4,14,4
81,"Walters","Jonathan","Walters",32,"02 Sep 16:00","Gameweek 4","Man Utd","MUN",TRUE,4,987623,"2018-09-02T15:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,4,14,4
82,"Cork","Jack","Cork",32,"02 Sep 16:00","Gameweek 4","Man Utd","MUN",TRUE,4,987623,"2018-09-02T15:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,4,14,4
83,"Lennon","Aaron","Lennon",32,"02 Sep 16:00","Gameweek 4","Man Utd","MUN",TRUE,4,987623,"2018-09-02T15:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,4,14,4
84,"Vokes","Sam","Vokes",32,"02 Sep 16:00","Gameweek 4","Man Utd","MUN",TRUE,4,987623,"2018-09-02T15:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,4,14,4
85,"Barnes","Ashley","Barnes",32,"02 Sep 16:00","Gameweek 4","Man Utd","MUN",TRUE,4,987623,"2018-09-02T15:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,4,14,4
86,"Wells","Nahki","Wells",32,"02 Sep 16:00","Gameweek 4","Man Utd","MUN",TRUE,4,987623,"2018-09-02T15:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,4,14,4
87,"Wood","Chris","Wood",32,"02 Sep 16:00","Gameweek 4","Man Utd","MUN",TRUE,4,987623,"2018-09-02T15:00:00Z",NA,NA,FALSE,0,FALSE,FALSE,4,14,4
88,"Etheridge","Neil","Etheridge",33,"02 Sep 13:30","Gameweek 4","Arsenal","ARS",TRUE,4,987624,"2018-09-02T12:30:00Z",NA,NA,FALSE,0,FALSE,FALSE,4,1,5
89,"Smithies","Alex","Smithies",33,"02 Sep 13:30","Gameweek 4","Arsenal","ARS",TRUE,4,987624,"2018-09-02T12:30:00Z",NA,NA,FALSE,0,FALSE,FALSE,4,1,5
90,"Morrison","Sean","Morrison",33,"02 Sep 13:30","Gameweek 4","Arsenal","ARS",TRUE,4,987624,"2018-09-02T12:30:00Z",NA,NA,FALSE,0,FALSE,FALSE,4,1,5
91,"Bamba","Sol","Bamba",33,"02 Sep 13:30","Gameweek 4","Arsenal","ARS",TRUE,4,987624,"2018-09-02T12:30:00Z",NA,NA,FALSE,0,FALSE,FALSE,4,1,5
92,"Ecuele Manga","Bruno","Ecuele Manga",33,"02 Sep 13:30","Gameweek 4","Arsenal","ARS",TRUE,4,987624,"2018-09-02T12:30:00Z",NA,NA,FALSE,0,FALSE,FALSE,4,1,5
93,"Connolly","Matthew","Connolly",33,"02 Sep 13:30","Gameweek 4","Arsenal","ARS",TRUE,4,987624,"2018-09-02T12:30:00Z",NA,NA,FALSE,0,FALSE,FALSE,4,1,5
94,"Bennett","Joe","Bennett",33,"02 Sep 13:30","Gameweek 4","Arsenal","ARS",TRUE,4,987624,"2018-09-02T12:30:00Z",NA,NA,FALSE,0,FALSE,FALSE,4,1,5
95,"Peltier","Lee","Peltier",33,"02 Sep 13:30","Gameweek 4","Arsenal","ARS",TRUE,4,987624,"2018-09-02T12:30:00Z",NA,NA,FALSE,0,FALSE,FALSE,4,1,5
96,"Jazz Richards","Ashley Darel Jazz","Richards",33,"02 Sep 13:30","Gameweek 4","Arsenal","ARS",TRUE,4,987624,"2018-09-02T12:30:00Z",NA,NA,FALSE,0,FALSE,FALSE,4,1,5
